Sitename,Site_code,Country,Site_type,Latitude,Longitude,Labcode,Layer/SU/UNIT/LOCUS,Yrs BP,STD,Mat,dc13,pottery,SEQUENCE,REFERENCE_C14,STRATIGRAPHY,
2-R-66_AMARA_WEST,2R66,SUDAN,OpenAir,20.833333,30.383333,A2765,L2-HEARTH 17/WEST,9365,40,CH,-24.5,1,NA,Garcea et al. 2016,,
2-R-66_AMARA_WEST,2R66,SUDAN,OpenAir,20.833333,30.383333,A2764,L2-HEARTH 12,9355,35,CH,-25.9,1,NA,Garcea et al. 2016,,
2-R-66_AMARA_WEST,2R66,SUDAN,OpenAir,20.833333,30.383333,A2761,L2-HEART 3/WEST,9325,40,CH,-25.3,1,NA,Garcea et al. 2016,,
2-R-66_AMARA_WEST,2R66,SUDAN,OpenAir,20.833333,30.383333,A2766,L2-HEARTH 17/WEST,9325,35,CH,-24.6,1,NA,Garcea et al. 2016,,
2-R-66_AMARA_WEST,2R66,SUDAN,OpenAir,20.833333,30.383333,A2767,L2-HEARTH 17/WEST,9305,40,CH,-23.9,1,NA,Garcea et al. 2016,,
2-R-66_AMARA_WEST,2R66,SUDAN,OpenAir,20.833333,30.383333,A2762,L2-HEARTH 3/EAST,9305,35,CH,-25.2,1,NA,Garcea et al. 2016,,
2-R-66_AMARA_WEST,2R66,SUDAN,OpenAir,20.833333,30.383333,A2763,L2-HEARTH 7,9305,35,CH,-25,1,NA,Garcea et al. 2016,,
2-R-66_AMARA_WEST,2R66,SUDAN,OpenAir,20.833333,30.383333,A2760,L1-HEARTH 3/WEST,9290,35,CH,-25.5,1,NA,Garcea et al. 2016,,
Abka_Site_IX,ABK9,SUDAN,OpenAir,21.83,31.2,M804,Level 6,8260,400,MLC,,1,NA,Myers 1960,,
Abka_Site_XXXII,ABK32,SUDAN,OpenAir,21.83,31.2,M795,Lower Level,9450,400,NA,,0,NA,Myers 1960,,
Abka_Site_XXXII,ABK32,SUDAN,OpenAir,21.83,31.2,M794,Upper Level,9175,400,NA,,0,NA,Myers 1960,,
Abouleg 2,ABL2,ALGERIA,OpenAir,23.65,5.98,UW89,NA,6830,80,CH,,1,NA,Camps et al. 1976,,
Abu_Ballas,ABLS,EGYPT,OpenAir,24.43,27.65,Hv11589a,NA,10850,1100,CH,,0,NA,Pachur and Braun 1980:360,,
Abu_Ballas,ABLS,EGYPT,OpenAir,24.43,27.65,Hv8318,STEINPLATZ,10100,255,CH,,0,NA,Pachur and Braun 1980:360,,
Abu_Ballas,ABLS,EGYPT,OpenAir,24.43,27.65,Hv11589,NA,9510,735,CH,,0,NA,Pachur and Braun 1980:360,,
Abu_Ballas,ABLS,EGYPT,OpenAir,24.43,27.65,Hv8693,NA,9260,370,CH,,0,NA,Pachur and Braun 1980:360,,
Abu_Ballas,ABLS,EGYPT,OpenAir,24.43,27.65,Hv8691,NA,8210,115,CH,,0,NA,Pachur and Braun 1980:360,,
Abu_Ballas_85/56,ABLS85/56,EGYPT,OpenAir,24.43,27.65,KN3635b,NA,7550,75,CH,,1,NA,Pachur and Braun 1980:360,,
Abu_Darbein,ABDRB,SUDAN,OpenAir,17.7,34,T8624,Level5,8640,100,MLC_FW,"-9,5",1,2,Haaland & Magid 1992,1995,mu[Level6]>mu[Level5]>mu[Level4]>mu[Level2]>mu[Level1]
Abu_Darbein,ABDRB,SUDAN,OpenAir,17.7,34,Q3230,Level2,8560,30,MLC_FW,"-7,6",1,4,Haaland & Magid 1992,1995,mu[Level6]>mu[Level5]>mu[Level4]>mu[Level2]>mu[Level1]
Abu_Darbein,ABDRB,SUDAN,OpenAir,17.7,34,T6381,Level1,8500,100,MLC_FW,"-9,2",1,5,Haaland & Magid 1992,1995,mu[Level6]>mu[Level5]>mu[Level4]>mu[Level2]>mu[Level1]
Abu_Darbein,ABDRB,SUDAN,OpenAir,17.7,34,Q3229,Level6,8435,95,MLC_FW,"-7,1",1,1,Haaland & Magid 1992,1995,mu[Level6]>mu[Level5]>mu[Level4]>mu[Level2]>mu[Level1]
Abu_Darbein,ABDRB,SUDAN,OpenAir,17.7,34,T8525,Level4,8390,70,MLC_FW,"-7,8",1,3,Haaland & Magid 1992,1995,mu[Level6]>mu[Level5]>mu[Level4]>mu[Level2]>mu[Level1]
Abu_Darbein,ABDRB,SUDAN,OpenAir,17.7,34,T8626,Level1,8330,100,MLC_FW,"- 5,5",1,5,Haaland & Magid 1992,1995,mu[Level6]>mu[Level5]>mu[Level4]>mu[Level2]>mu[Level1]
Abu_Darbein,ABDRB,SUDAN,OpenAir,17.7,34,T5728,Level1,7700,100,MLC_FW,"-7,1",1,5,Haaland & Magid 1992,1995,mu[Level6]>mu[Level5]>mu[Level4]>mu[Level2]>mu[Level1]
Abu_Gerara_98/5,ABGR98/5,EGYPT,OpenAir,26.56,29.38,UtC9459,MOUND3,6597,42,OES,,1,NA,Riemer 2003, Gehlen ,
Abu_Gerara_99/28,ABGR99/28,EGYPT,OpenAir,26.56,29.38,Erl2858,HEARTH,6605,74,OES,,1,NA,Riemer 2003, Gehlen ,
Abu_Minqar_81/55-5,ABMNQ81/55-5,EGYPT,OpenAir,26.51,27.66,KN3724,NA,7840,160,CH,,0,NA,,,
Abu_Minqar_81/55-5,ABMNQ81/55-5,EGYPT,OpenAir,26.51,27.66,KN3357,NA,7790,65,CH,,0,NA,,,
Abu_Minqar_81/55-5,ABMNQ81/55-5,EGYPT,OpenAir,26.51,27.66,KN3552,NA,7240,70,OES,,0,NA,,,
Abu_Nuss_QASR_FARAFRA,ABNSS,EGYPT,OpenAir,27.33,26,R1894,PLAYA_FAII,6950,60,OES,,0,NA,Belluomini & Manfra 2014,,
Abu_Nuss_QASR_FARAFRA,ABNSS,EGYPT,OpenAir,27.33,26,R1895,PLAYA_FAIV,6670,95,OES,,0,NA,Belluomini & Manfra 2014,,
Abu_Tartur,ABTRT,EGYPT,OpenAir,25.18,29.57,Hv8695,NA,11700,1210,NA,,0,NA,,,
Abu_Tartur,ABTRT,EGYPT,OpenAir,25.18,29.57,Poz11204,NA,9120,40,NA,,0,NA,,,
Abu_Tartur,ABTRT,EGYPT,OpenAir,25.18,29.57,KN4336,NA,8010,90,CH,,0,NA,,,
Abu_Tartur_0006,ABTRT0006,EGYPT,OpenAir,25.18,29.57,KN3702,NA,7200,70,CH,,1,NA,Riemer & Jesse 2006,,
Abu_Tartur_1004,ABTRT1004,EGYPT,OpenAir,25.18,29.57,KN3744,NA,7590,75,CH,,1,NA,Riemer & Jesse 2006,,
Adrar_Bous_10,ABUS10,NIGER,OpenAir,20.32,9.03,UW806,NA,9130,65,CH,,1,NA,Roset et al. 1990,,
Adrar_Bous_10,ABUS10,NIGER,OpenAir,20.32,9.03,Pa283,NA,9100,150,CH,,1,NA,Roset et al. 1990,,
Adrar_Bous_10,ABUS10,NIGER,OpenAir,20.32,9.03,UW-754,NA,9030,190,CH,,1,NA,Roset et al. 1990,,
Ain_E-Raml,ANRML,EGYPT,OpenAir,27.05,27.95,R1983,SQ_HV-21C,9650,190,CH,,0,NA,,,
Al_Khiday,ALKHD,SUDAN,OpenAir,15.41,32.29,Beta201726,10W4 SU12,6490,40,CH,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta201728,16D5 SU6,7980,40,CH,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta279538,16D5 SU 250,7960,40,SOIL,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta239622,16D5 SU 455a,7940,40,CH,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta213892,16D5 SU48,7870,40,CH,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta239621,16D5 SU455b,7830,40,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta257255,16D5 PEAT,7740,50,SOIL,,1,NA,Salvatori 2012,,
Al_Khiday_1,ALKHD1,SUDAN,OpenAir,15.41,32.49,Beta213891,16D5 SU37,7710,40,CH,,1,NA,Salvatori 2012,,
Al_Khiday_2,ALKHD2,SUDAN,OpenAir,15.41,32.48,Beta239620,16D4 Pit29,7770,40,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_2,ALKHD2,SUDAN,OpenAir,15.41,32.48,Beta239619,16D4 Pit6A,7760,90,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_2,ALKHD2,SUDAN,OpenAir,15.41,32.48,Beta279537,16D4 Pit75,7640,110,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_2,ALKHD2,SUDAN,OpenAir,15.41,32.48,Beta257258,16D4 Pit52,7620,50,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_2,ALKHD2,SUDAN,OpenAir,15.41,32.48,Beta279536,16D4 Pit74,7600,90,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_2,ALKHD2,SUDAN,OpenAir,15.41,32.48,Beta279535,16D4 Pit73,7530,100,MLC_FW,,1,NA,Salvatori 2012,,
Al_Khiday_2B,ALKHD2B,SUDAN,OpenAir,15.41,32.48,Beta257257,16D4B Pit F6,7540,50,CH,,1,NA,Salvatori 2012,,
Al_Mahalab,AMHB,SUDAN,OpenAir,15.6,32.64,T10946,LevelB,7705,145,MLC_FW,,1,1,Fernandez et al. 2003,mu[LevelB]>mu[LevelC]>mu[LevelE],
Al_Mahalab,AMHB,SUDAN,OpenAir,15.6,32.64,T10948,LevelC,7470,60,MLC_FW,,1,2,Fernandez et al. 2003,mu[LevelB]>mu[LevelC]>mu[LevelE],
Al_Mahalab,AMHB,SUDAN,OpenAir,15.6,32.64,T10949,LevelE,6940,85,MLC_FW,,1,3,Fernandez et al. 2003,mu[LevelB]>mu[LevelC]>mu[LevelE],
Amekni,AMK,ALGERIA,RS,22.88,5.23,Mc212,NA(C),8670,150,NA,,1,NA,,,
Amekni,AMK,ALGERIA,RS,22.88,5.23,UW87,NA(A),8050,80,NA,,1,NA,,,
Amekni,AMK,ALGERIA,RS,22.88,5.23,Gif1222,NA(B),6800,220,NA,,1,NA,,,
Aneibis_Area_1,ANB1,SUDAN,OpenAir,17.93,34,T7480,Level2(a),7760,100,MLC_FW,"-0,2",1,2,Haaland and Magid 1992,mu[Level1]>mu[Level2]&mu[Level2(a)],
Aneibis_Area_1,ANB1,SUDAN,OpenAir,17.93,34,T6382,Level1,7310,100,MLC_FW,"-8,9",1,1,Haaland and Magid 1992,mu[Level1]>mu[Level2]&mu[Level2(a)],
Aneibis_Area_1,ANB1,SUDAN,OpenAir,17.93,34,T6383,Level2,7290,100,MLC_FW,"-8,9",1,2,Haaland and Magid 1992,mu[Level1]>mu[Level2]&mu[Level2(a)],
Aneibis_Area_2,ANB2,SUDAN,OpenAir,17.93,34,T8643,Level3(a),8230,100,MLC_FW,"-5,7",1,1,Haaland and Magid 1992,mu[Level3]&mu[Level3(a)]>mu[Level1]&mu[Lvel1(a)],
Aneibis_Area_2,ANB2,SUDAN,OpenAir,17.93,34,T8644,Level3,7950,100,MLC_FW,"3,2",1,1,Haaland and Magid 1992,mu[Level3]&mu[Level3(a)]>mu[Level1]&mu[Lvel1(a)],
Aneibis_Area_2,ANB2,SUDAN,OpenAir,17.93,34,T6384,Level1,7450,100,MLC_FW,"-7,5",1,2,Haaland and Magid 1992,mu[Level3]&mu[Level3(a)]>mu[Level1]&mu[Lvel1(a)],
Aneibis_Area_2,ANB2,SUDAN,OpenAir,17.93,34,T7481,Level1(a),6820,100,MLC_FW,"-2,5",1,2,Haaland and Magid 1992,mu[Level3]&mu[Level3(a)]>mu[Level1]&mu[Lvel1(a)],
Aneibis_Area_3,ANB3,SUDAN,OpenAir,17.93,34,T7482,Level5,7910,100,MLC_FW,"-2,5",1,NA,Haaland and Magid 1992,,
Aneibis_Area_4,ANB4,SUDAN,OpenAir,17.93,34,T8648,Level6,8090,60,MLC_FW,"-0,6",1,1,Haaland and Magid 1992,mu[Level6]>mu[Level5]&mu[Level5(a)]>mu[Level4]>mu[Level3(a)]&mu[Level2]>mu[Level1],
