"Sitename","Site_code","Latitude","Longitude","ToCheck"
"2-R-66_AMARA_WEST","2R66",20.833333,30.383333,FALSE
"Sai_Island_8-B-10C","8B10C",20.708,30.325,FALSE
"Sai_Island_8-B-76","8B76",20.708,30.325,FALSE
"Abu_Darbein","ABDRB",17.7,34,FALSE
"Abu_Gerara_98/5","ABGR98/5",26.56,29.38,FALSE
"Abu_Gerara_99/28","ABGR99/28",26.56,29.38,FALSE
"Abka_Site_XXXII","ABK32",21.83,31.2,FALSE
"Abka_Site_IX","ABK9",21.83,31.2,FALSE
"Abouleg 2","ABL2",23.65,5.98,FALSE
"Abu_Ballas","ABLS",24.43,27.65,TRUE
"Abu_Ballas_85/56","ABLS",24.43,27.65,TRUE
"Abu_Minqar_81/55-5","ABMNQ81/55-5",26.51,27.66,FALSE
"Abu_Nuss_QASR_FARAFRA","ABNSS",27.33,26,FALSE
"Abu_Tartur","ABTRT",25.18,29.57,FALSE
"Abu_Tartur_0006","ABTRT0006",25.18,29.57,FALSE
"Abu_Tartur_1004","ABTRT1004",25.18,29.57,FALSE
"Adrar_Bous_10","ABUS10",20.32,9.03,FALSE
"Al_Khiday","ALKHD1",15.41,32.29,TRUE
"Al_Khiday_1","ALKHD1",15.41,32.49,TRUE
"Al_Khiday_2","ALKHD2",15.41,32.48,TRUE
"Al_Khiday_2B","ALKHD2",15.41,32.48,TRUE
"Al_Mahalab","AMHB",15.6,32.64,FALSE
"Amekni","AMK",22.88,5.23,FALSE
"Aneibis_Area_1","ANB1",17.93,34,FALSE
"Aneibis_Area_2","ANB2",17.93,34,FALSE
"Aneibis_Area_3","ANB3",17.93,34,FALSE
"Aneibis_Area_4","ANB4",17.93,34,FALSE
"Ain_E-Raml","ANRML",27.05,27.95,FALSE
"Aschech_I","ASCHCH",31.13,4.58,FALSE
"Ashech_III","ASCHCH_II",21.12,4.57,FALSE
"Awlad_el_Imam","AWIM",15.9,32.6,FALSE
"Bilma","BLM",18.7,12.93,FALSE
"Bir_Misaha_83/30","BMSH83/30",22.17,27.17,FALSE
"Bordj_Mellala","BORDJMLL",32.33,4.4,FALSE
"Bordj_Mellala_II","BORDJMLL_II",32.08,5.18,FALSE
"Burget_Tuyur","BRGTYR",21.25,28.42,FALSE
"Bir_Kiseiba_LocalityIV","BRKISLOCIV",22.83,30.03,FALSE
"Bir_Kiseiba_scarp","BRKISSCARP",22.83,30.03,FALSE
"Busharia_I_Site44","Bu44",19.631,30.48,FALSE
"Busharia_I_Site45","Bu45",19.631,30.48,FALSE
"Busharia_I_Site84","Bu84",19.631,30.48,FALSE
"Bou_Ali","BUAL",27.17,-0.25,FALSE
"Chufu","CHF",25.56,28.59,FALSE
"Chufu_02/14","CHF_02/14",24.43,27.64,FALSE
"Conical_Hill","CNCHLL",17.39,27.63,FALSE
