"","models","param","mean","hpdi","rhat","ess"
"1","m1","beta.e.0",0.27489,"0.10287 ~ 0.44306",1,40000
"2","m1","beta.e.time",0.30503,"0.14403 ~ 0.47381",1.0002,40000
"3","m1","beta.e.distance",0.04858,"0 ~ 0.13209",1.0002,39404
"4","m2","beta.a.0",0.27172,"0.1022 ~ 0.43605",1.0001,40000
"5","m2","beta.a.time",0.33108,"0.16037 ~ 0.49636",0.9999,38259
"6","m2","beta.a.distance",0.16845,"0 ~ 0.35378",1,39288
"7","m3","beta.o.0",0.49305,"0.26778 ~ 0.71296",1,39678
"8","m3","beta.o.time",0.34336,"0.17395 ~ 0.51351",1.0003,40000
"9","m3","beta.o.time",0.23621,"0.04173 ~ 0.41",1.0001,38834
"10","m4","beta.e.0",-0.55646,"-1.15655 ~ 0.08647",1.0001,40000
"11","m4","beta.e.time",0.26168,"0.0511 ~ 0.46244",1.0001,40000
"12","m4","beta.e.distance",0.64668,"0.07726 ~ 1.14092",1.0002,40000
"13","m4","beta.a.0",-0.12317,"-0.47086 ~ 0.20181",1,40000
"14","m4","beta.a.time",0.53055,"0.27807 ~ 0.79446",1.0001,40000
"15","m4","beta.a.distance",0.70145,"0.2968 ~ 1.12585",1,40000
"16","m5","beta.e.0",-0.6807,"-1.291 ~ -0.08734",1.0001,40000
"17","m5","beta.e.time",0.25836,"0.05563 ~ 0.46286",1,40000
"18","m5","beta.e.distance",0.72366,"0.24375 ~ 1.23275",1.0001,40000
"19","m5","beta.o.0",0.40499,"0.10722 ~ 0.69964",1,40000
"20","m5","beta.o.time",0.57052,"0.30554 ~ 0.84645",1,39361
"21","m5","beta.o.distance",0.98066,"0.48254 ~ 1.53411",1.0001,40000
"22","m6","beta.a.0",0.10885,"-0.15018 ~ 0.37737",1.0007,24506
"23","m6","beta.a.time",0.31694,"0.08002 ~ 0.53649",1.0007,27119
"24","m6","beta.a.distance",0.10517,"0 ~ 0.36214",1.0016,18353
"25","m6","beta.o.0",0.37826,"-0.05712 ~ 0.76155",1.0003,38599
"26","m6","beta.o.time",0.48105,"0.17847 ~ 0.78046",1.0001,33263
"27","m6","beta.o.distance",0.87586,"0.01292 ~ 1.42736",1.0001,25701
"28","m7","beta.e.0",-0.65328,"-1.26465 ~ -0.07612",1.0007,40000
"29","m7","beta.e.time",0.25063,"0.04691 ~ 0.45275",1.0001,40808
"30","m7","beta.e.distance",0.70561,"0.21191 ~ 1.20247",1.0001,38684
"31","m7","beta.a.0",-0.42106,"-1.00875 ~ 0.09599",1.0003,38829
"32","m7","beta.a.time",0.54907,"0.10832 ~ 0.95298",1.0016,40000
"33","m7","beta.a.distance",0.57519,"2e-05 ~ 1.141",1,40000
"34","m7","beta.o.0",0.19601,"-0.41389 ~ 0.70294",1.0007,39942
"35","m7","beta.o.time",0.50098,"0.15807 ~ 0.82697",1.0001,40000
"36","m7","beta.o.distance",1.02638,"0.4607 ~ 1.64887",0.9999,40609
